list_date,company,location,title,link,status,description
2023-01-27,"VMC Soft Technologies, Inc","Boston, MA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-vmc-soft-technologies-inc-3413669933?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=xLJqEPEkZ3sAZ0CD0tuY2g%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,,"SDET
NC,TX,NH,NJ,RI,MA
W2 CONTRACT

JOB DESCRIPTION:




Show more"
2023-01-24,Derivco,"Orlando, FL",Software Developer Engineer in Test,https://www.linkedin.com/jobs/view/software-developer-engineer-in-test-at-derivco-3449947707?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=2K1k44qqvzWm3RyFzCHIXw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Please submit your CV in English as we will only consider applications submitted in this language.

Derivco is a leading software development house in the online gaming world. Working alongside our key partners, including Betway. We design, develop, illustrate and animate the best online casino games in the industry. We’re proud to say we employ over 2,000 of the brightest minds in the industry across our offices in the USA, South Africa, Isle of Man, Malaga and Australia.








Show more"
2023-01-24,Aditi Consulting,"Bellevue, WA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-aditi-consulting-3448067243?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=E3yc2PlonYclFWb4b4iWzg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Pay Rate: $65/Hr - $70/Hr on W2

Job Description:
● Creating scalable, maintainable, and distributed test frameworks to make functional engineer life easier

Show more"
2023-01-27,Oliver Parks,"North Carolina, United States",Software Development Engineer in Test,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-at-oliver-parks-3425649611?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=XHF79i7Xo7kX7gYafnZAbg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Seeking a Senior Developer Engineer in Test for a world class e-learning company (Healthcare).

Why would you want to work for this company:

* Successful since 2002 - Super stable organization in the e-learning space (Healthcare).
* Client retention rate close to 100%
* Employee centric culture - collaborative & family friendly
* Growth & career advancement opportunities - 20% annual employee promotion & transfer rate and development programs offered
* Remote & flexible opportunity - you choose if/ when you would like to go into office
* Solid pipeline and projects for over 11,000 customers
* Excellent benefits - health & wellness benefits package (employee portion of HC coverage is paid for), a 6% 401k match, unlimited PTO program, paid holidays, (inc your birthday!), onboarding program and lots more.











Show more"
2023-01-24,InfoVision Inc.,"Bellevue, WA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-infovision-inc-3448315347?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=9Jyd2zNa72CQ4YSNftrB2Q%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Details:
Title: Software Development Engineer in Test - II (SDET - II)
Location: Bellevue, WA, USA
Job Description:
● Creating scalable, maintainable, and distributed test frameworks to make functional engineer life easier


Show more"
2023-01-23,MindSource,"Sunnyvale, CA",SDET,https://www.linkedin.com/jobs/view/sdet-at-mindsource-3446679243?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=hci2ho3J6dv65iV%2F2aXx9g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Hi

Mindsource is seeking a SDET for one of our Direct Client based in Silicon Valley. If interested, please drop your resume to akhil@mindsource.com
Role Name: Software Development Engineer In Test
Show more"
2023-01-26,Intellectt Inc,"Franklin Lakes, NJ",Software Test Engineer II,https://www.linkedin.com/jobs/view/software-test-engineer-ii-at-intellectt-inc-3451855410?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=nKvf0ee48jDfs0UIu44Lug%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Role: Software Test Engineer II

Duration: 12 Months

Job Location: Franklin Lakes, NJ

Need local candidate. Onsite. Hybrid. 3 days onsite & 2 days remote.



This is an Embedded software test engineer role.

Need to have Basic knowledge of embedded software.

Experience with testing embedded software and systems.

Need to be able to support design verification, read and understand test protocols & test cases.

Strong documentation experience and should be able to write reports.

Able to read and follow SOPs & GLP's.



At least a bachelor's degree is required in the relevant field.

Need to have relevant testing experience.



Video conference interview with the hiring manager.

Thanks & Regards,



Technical Recruiter

Intellectt.Inc

Ext: 265

Direct: 7327693774

517 Route 1 South, Suite 1115 Iselin, NJ 08830

""In case of my absence please reach out to my team lead at Anusha@intellectt.com"".
Show more"
2023-01-24,InfoVision Inc.,"Bellevue, WA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-infovision-inc-3448328439?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=hpBdlkgMCVzM3mKdhu%2BfLw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Software Development Engineer in Test - SDET
Location: Bellevue, WA(Onsite)
Note: Only W2 is required

Job Description:


Show more"
2023-01-24,Eliassen Group,"Durham, NC",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-eliassen-group-3448387852?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=mHFiq0P%2BXHqBKfY0vrEXKQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,,"*Candidates must be able to be onsite one week per month in NC, NJ, or Boston*

Our industry-leading financial services client is seeking a Software Engineer in Test with financial services experience.





Show more"
2023-01-27,Compunnel Inc.,"Dallas, TX",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-compunnel-inc-3456939960?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=NQcE7O%2BHGbTxFquzyOHgEQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,,"No C2C

Job Title: SDET
Client: WWEXBill
Location : Dallas, Texas (onsite)


Show more"
2023-01-27,ExaTech Inc,"Dallas, TX",SDET Data Consultant,https://www.linkedin.com/jobs/view/sdet-data-consultant-at-exatech-inc-3453185329?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=5qQRTUiVurbYJN82oLRiLA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,,"This is Mohd Aseem Ali from Exatech Inc. I have an urgent opening of SDET Data Consultant For Dallas TX (Remote)

Role: SDET Data Consultant

Location: Dallas TX (Remote)

Duration: 12+Months

Interview: Video

Process: Hacker Rank test and 2 rounds of zoom interview



Must have 9+years of experience on SDET with Data Consultants.

Pytest & Pyspark

Rest Assured

Microservices

AWS services (s3, Lambda, Redshift)

Jenkins CICD

Shift Left Testing



I



aseem@exatechinc.com

https://www.linkedin.com/in/mohammed-aseem-ali-200682230/

4555 Lake Forest Drive, Suite 650, Cincinnati, OH 45242

ExaTech, Inc., Visit to know.

An company

USA-Canada-INDIA

Show more"
2023-01-23,EVONA,"Irvine, CA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-evona-3447513725?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=%2BRqhCk9snKYg4SMsja8Umw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Unlimited PTO, $100,000 of shares, 401(f) Match, 100% Company-paid comprehensive medical, dental, and vision coverage!

When it comes to building satellites you will struggle to find a better place than this to work. These guys are making next gen satellites from cradle to grave in their state of the art facilities. Billions of dollars in secured pipeline for the coming year and over 300% growth last year, the numbers speak for themselves.




Show more"
2023-01-27,Galaxy i technologies Inc,"Dallas, TX",Software Engineer In Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-galaxy-i-technologies-inc-3382559141?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=8flEHPtYf0c8ttUQCw8BDg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,,"W2 CONTRACT ONLY

Job Title: Software Engineer In Test(SDET)
Multiple locations: Merrimack, NH/Westlake, TX/Durham, NC(Hybrid)
Direct Client





Show more"
2023-01-25,DISYS,"Morrisville, NC",Sr. Software Developer in Test - SDET,https://www.linkedin.com/jobs/view/sr-software-developer-in-test-sdet-at-disys-3448879080?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=CmYzDBMrAyguRuMDnshnqA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Bachelor's degree: Computer Engineering, Computer Science, or equivalent










Responsibilities

















Show more"
2023-01-24,PRI Global,"O'Fallon, MO",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-pri-global-3448304282?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=ZXNvRkdEz%2B6E7Hz0p4EDZw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Only W2 no C2C for this role as per the client guidelines.

The requirement as follows
Job title: SDET
Duration: 12+ months


Show more"
2023-01-23,Swoon,San Francisco Bay Area,Software Development Engineer (SDET) - 71483,https://www.linkedin.com/jobs/view/software-development-engineer-sdet-71483-at-swoon-3447031943?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=FBxtmKE%2B6BbtKl0vu4NSVA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Are you looking for a new position? Are you looking to be able to grow with a company? Are you looking for opportunities to get into leadership? Do you have a passion for Software Development? Keep reading!

What does an SDET do here?



Show more"
2023-01-24,PMG GLOBAL,"Durham, NC",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-pmg-global-3448303703?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=qG62uBYxnhhnjknH%2FasSgg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,,"This job posting is only for candidates who can work for us on W2 Basis.
NO C2C resumes please


The Team



Show more"
2023-01-26,Arista Networks,"Santa Clara, CA",Test Automation/Full Stack Web Development Engineer,https://www.linkedin.com/jobs/view/test-automation-full-stack-web-development-engineer-at-arista-networks-3452603877?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=x03%2F34BNpB2bOnMgTkc4og%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,,"We are looking for a motivated high-caliber front-end/backend web-development engineer to join the Central Engineering’s Automation and Web development group at our headquarters in Santa Clara, CA, in the heart of Silicon Valley. In this position, you will gain experience building automation and web applications for internal test teams.



















Show more"
2023-01-24,Backblaze,"San Mateo, CA",Software QA Engineer - Manual (Contract),https://www.linkedin.com/jobs/view/software-qa-engineer-manual-contract-at-backblaze-3451950997?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=Us36ERvsssiCiEcrEUXJBA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,,"About Backblaze

Backblaze makes storing and using data astonishingly easy. When our founding team got together, they committed to helping people save their data. Today, the Backblaze Storage Cloud provides a foundational platform around the world for a broad community of developers, IT generalists, entrepreneurs, and individuals who seek the easy, affordable, trusted solutions we provide.

We’ve managed to nurture a team-oriented culture with amazingly low turnover. Our approach is guided by honesty, transparency, and a commitment to doing the right thing. Our customers are happy, and so are our coworkers: In the most recent “Great Place to Work” survey, 97% of our team rated Backblaze as “a great place to work.” Check out what our employees are saying on Glassdoor !

But while there is a lot to celebrate in our past, there is almost as much opportunity ahead of us. We are seeking a to join our growing team!

This position will be based out of our headquarters in San Mateo, California. We are conveniently located near CalTrain, and Highways 280 and 101. We also offer a flexible schedule so employees can work remotely when necessary.







To provide greater transparency to candidates, we share base pay ranges for all US-based job postings regardless of state. We set standard base pay ranges for all roles based on function, level, and country location, benchmarked against similar-stage growth companies. Final offer amounts are determined by multiple factors, including candidate location, skills, depth of work experience, and relevant licenses/credentials, and may vary from the amounts listed below.

The pay range for this contractor position is $40 to $56 per hour.

At Backblaze, we value being fair and good to our customers, partners, and employees. That’s why diversity, equity, and inclusion are at the core of our values. We are committed to fostering a workforce where all employees feel a sense of belonging regardless of race, ethnicity, nationality, gender, sexual orientation, age, religion, socio-economic status, ability, veteran status, and education. We believe that our dedication to cultivating a diverse workspace not only allows us to better serve our customers in over 175 countries, but further reinforces our commitment to doing the right thing. We are proud to be an Equal Opportunity Employer.

Please submit any privacy-related requests or questions to hrdatarequest@backblaze.com .

Show more"
2023-01-25,Platform Science,"San Diego, CA",Software Development Engineer in Test - Marketplace,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-marketplace-at-platform-science-3448433349?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=VCk9en5qU6Yj8NyMiUQy5g%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Who We Are:
At Platform Science, we’re working to connect everything that moves.

Founded in 2015, we are an open IoT platform that partners with innovative fleets, application developers, vehicle manufacturers, and equipment providers in the transportation industry to deliver revolutionary solutions to supply chain professionals across the globe.













Show more"
2023-01-24,Vedsoft,"Durham, NC",SDET,https://www.linkedin.com/jobs/view/sdet-at-vedsoft-3452375462?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=aOac5YvmcFQj3BYzOb0NuA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,,"PYTHON IN DESCRIPTION --- Skills/Experience:
- Cucumber, Selenium, Playwright and Jenkins.
-Version Control Systems (Git, ClearCase etc.).
-SQL, XML, HTML, JavaScript, Java, or Python testing skils preferred


Show more"
2023-01-23,Compunnel Inc.,"Durham, NC",Software Development Engineer in Test,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-at-compunnel-inc-3447083042?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=Jk%2F62yZz46ANYC5TBtLjiQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Job Title: Software development engineer in Test

Only W2 (No C2C)

All Visas Accepted



Show more"
2023-01-23,Russell Tobin,"Cary, NC",Quality Assurance Automation Engineer,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-russell-tobin-3447502619?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=LN4O5Wm8RmavW2gnOisH9w%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Role: Quality Assurance Automation Engineer
Location: Cary, NC (Hybrid)
Job Type: Permanent
Salary- $140K/Year with Benefits


Show more"
2023-01-25,Capgemini,"Providence, RI",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-capgemini-3449511563?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=5d0Bz3ItWiXFXgf0RqOTSw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Job Title: Software Engineer in Test

Location: Westlake, TX/Smithfield, RI (Onsite)

Type: Fulltime




Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 340,000 + team members in more than 50+ countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast-evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering, and platforms. The Group reported 2021 global revenues of €18 billion.

Get The Future You Want | www.capgemini.com


Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.

This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.

Click the following link for more information on your rights as an Applicant http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.
Show more"
2023-01-27,"TechMate, Inc.","Scottsdale, AZ",Quality Assurance Automation Engineer,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-techmate-inc-3457215326?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=ZSSMdAYiSrC46bDMaEeemA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Job Description: QA Automation Engineer: Must live in AZ and not need sponsorship now or in future, In office at least 3 days a week. If you don't live in Arizona pls don't apply!

Seeking a talented QA Automation Engineer for quality assurance team in implementing our core product line. We are looking for well-rounded analyst who have a proven track record of delivering quality, scalable enterprise applications. You would be a member of an Agile team, tasked with testing functionality as well as maintaining and supporting the existing, publicly available product releases. The candidate must be self-directed and a fast learner, flexible enough to work on new technologies as well as legacy components. Core stack is Java, Angular, Spring, Spring boot, Docker, Hibernate, Oracle


Show more"
2023-01-27,KTek Resourcing,"Charlotte, NC",SDET Automation,https://www.linkedin.com/jobs/view/sdet-automation-at-ktek-resourcing-3456696212?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=iT9TgQkjzf0fdGO6xOyz9A%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Title: SDET
Job Description
BS/BA Degree in Computer Science or equivalent experience
Proven experience in Selenium, Automation, Core Java, SDET
Expert hands-on experience developing cloud native micro services per BDD architecture principles with REST API development
Show more"
2023-01-23,Modis,"Irving, TX",Quality Assurance Automation Engineer,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-modis-3447514492?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=GxKgSFMo%2FJ3LgWnyM2MLHg%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,,"Title: Automation Engineer
Location: Hybrid in Atlanta, GA, Irving, TX, Minneapolis, MN or California. Team is currently in office only 1 day a week but they will eventually move to a 3 day a week model.








Show more"
2023-01-23,Radley James,"Cary, NC",Quality Assurance Automation Engineer,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-radley-james-3446957487?refId=6kgaEi3KVAPKye8WRzkYCg%3D%3D&trackingId=mNHATTlooM7k5qTMBlDJ0Q%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,,"A new exciting opportunity has arisen with a multinational bank as they are seeking a superb QA Automation Engineer to join their increasingly outstanding team in the amazing area of Cary, NC.
You will be responsible for building and leading multiple phases of new and robust tests for Web based applications focusing on test automation and CICD.
Show more"
